,Banco,Tipo_contrato,Taxa_tipo,Taxa%,Vencimento,Valor_inicial,Valor_bruto,IR,Valor_liquido,Rentabilidade_liquida%,Rentabilidade/Vencimento
268,BANCO ABC BRASIL,LCA,CDI_PCT,87.5,182,200000,212735.41,2547.08,210188.33,5.094,0.02798901098901099
269,BANCO ABC BRASIL,LCA,CDI_PCT,87.5,182,200000,212735.41,2547.08,210188.33,5.094,0.02798901098901099
162,BANCO DAYCOVAL,CDB,CDI_PCT,97.0,60,200000,204323.08,972.69,203350.39,1.675,0.027916666666666666
260,BANCO OURINVEST,CDB,PRE,13.8,91,200000,206550.91,1473.95,205076.95,2.538,0.02789010989010989
249,BANCO DAYCOVAL,CDB,PRE,13.94,30,200000,202156.78,485.28,201671.51,0.836,0.027866666666666665
270,BANCO ABC BRASIL,LCA,CDI_PCT,87.0,182,200000,212660.4,2532.08,210128.32,5.064,0.027824175824175824
266,OURIBANK,CDB,PRE,13.6,140,200000,210025.0,2255.63,207769.38,3.885,0.027749999999999997
271,BANCO ABC BRASIL,LCA,CDI_PCT,86.5,182,200000,212585.41,2517.08,210068.33,5.034,0.02765934065934066
246,BANCO DAYCOVAL,CDB,CDI_PCT,96.0,60,200000,204278.05,962.56,203315.49,1.658,0.027633333333333333
213,BANCO DA CHINA BRASIL,CDB,CDI_PCT,96.0,60,200000,204278.05,962.56,203315.49,1.658,0.027633333333333333
248,BANCO DA CHINA BRASIL,CDB,CDI_PCT,94.33,62,200000,204415.32,993.45,203421.88,1.711,0.027596774193548387
273,BANCO BTG PACTUAL,LCA,CDI_PCT,85.0,182,200000,212360.62,2472.12,209888.49,4.944,0.027164835164835165
272,BANCO BTG PACTUAL,LCA,CDI_PCT,85.0,182,200000,212360.62,2472.12,209888.49,4.944,0.027164835164835165
274,BANCO BTG PACTUAL,LCA,CDI_PCT,85.0,182,200000,212360.62,2472.12,209888.49,4.944,0.027164835164835165
214,BANCO DAYCOVAL,CDB,CDI_PCT,96.0,32,200000,202234.69,502.8,201731.88,0.866,0.0270625
94,BANCO STELLANTIS,CDB,CDI_PCT,98.79,30,200000,202079.8,467.96,201611.85,0.806,0.026866666666666667
275,SICOOB,LCA,CDI_PCT,84.0,188,200000,212604.25,2520.85,210083.4,5.042,0.026819148936170212
160,BANCO PAN,CDB,CDI_PCT,98.5,30,200000,202073.67,466.58,201607.09,0.804,0.0268
125,BANCO PAN,CDB,CDI_PCT,97.75,30,200000,202057.8,463.01,201594.8,0.797,0.02656666666666667
127,PAGBANK,CDB,CDI_PCT,97.75,30,200000,202057.8,463.01,201594.8,0.797,0.02656666666666667
277,BANCO BTG PACTUAL,LCA,CDI_PCT,83.0,182,200000,212061.25,2412.25,209649.0,4.824,0.026505494505494505
165,BANCO DAYCOVAL,CDB,CDI_PCT,97.0,30,200000,202041.94,459.44,201582.5,0.791,0.026366666666666667
153,BANCO DAYCOVAL,CDB,CDI_PCT,97.0,30,200000,202041.94,459.44,201582.5,0.791,0.026366666666666667
276,BANCO ABC BRASIL,LCI,PRE,12.35,182,200000,211956.75,2391.35,209565.4,4.783,0.02628021978021978
237,MERCADO LIVRE,CDB,CDI_PCT,96.5,30,200000,202031.36,457.06,201574.31,0.787,0.026233333333333334
278,BANCO BTG PACTUAL,LCA,CDI_PCT,82.0,182,200000,211911.72,2382.34,209529.38,4.765,0.02618131868131868
243,BANCO DAYCOVAL,CDB,CDI_PCT,96.0,30,200000,202020.79,454.68,201566.11,0.783,0.0261
225,BANCO DA CHINA BRASIL,CDB,CDI_PCT,95.5,30,200000,202010.21,452.3,201557.91,0.779,0.02596666666666667
282,BANCO BTG PACTUAL,LCA,CDI_PCT,81.0,182,200000,211762.3,2352.46,209409.84,4.705,0.02585164835164835
283,BANCO BTG PACTUAL,LCA,CDI_PCT,81.0,182,200000,211762.3,2352.46,209409.84,4.705,0.02585164835164835
279,BANCO ABC BRASIL,LCA,PRE,12.05,182,200000,211674.35,2334.87,209339.48,4.67,0.025659340659340658
281,BANCO BOCOM BBM,LCA,CDI_PCT,81.0,184,200000,211762.3,2352.46,209409.84,4.705,0.025570652173913043
280,BBM,LCA,PRE,11.99,182,200000,211617.83,2323.57,209294.26,4.647,0.025532967032967036
250,BANCO DA CHINA BRASIL,CDB,CDI_PCT,93.83,30,200000,201974.9,444.35,201530.54,0.765,0.025500000000000002
284,BANCO BOCOM BBM,LCA,CDI_PCT,80.75,184,200000,211724.96,2344.99,209379.97,4.69,0.02548913043478261
285,BANCO ABC BRASIL,LCA,PRE,11.84,182,200000,211476.45,2295.29,209181.16,4.591,0.025225274725274725
286,BANCO BTG PACTUAL,LCA,PRE,11.71,182,200000,211353.84,2270.77,209083.07,4.542,0.024956043956043956
287,"AGROLEND SOCIEDADE DE CREDITO, FINA",LCA,PRE,11.55,185,200000,211392.67,2278.53,209114.13,4.557,0.024632432432432433
13,BANCO HAITONG,CDB,IPCA,10.6,218,200000,213335.7,2667.14,210668.56,5.334,0.02446788990825688
288,BANCO BTG PACTUAL,LCA,PRE,11.47,182,200000,211127.3,2225.46,208901.84,4.451,0.024456043956043953
289,BANCO BOCOM BBM,LCA,PRE,11.41,184,200000,211195.63,2239.13,208956.5,4.478,0.024336956521739127
14,BANCO BV,CDB,IPCA,10.6,171,200000,210434.62,2347.79,208086.83,4.043,0.02364327485380117
290,BANCO BOCOM BBM,LCA,PRE,11.05,184,200000,210851.33,2170.27,208681.06,4.341,0.023592391304347825
291,BANCO BTG PACTUAL,LCA,PRE,11.04,182,200000,210720.81,2144.16,208576.65,4.288,0.023560439560439562
292,PICPAY,CDB,PRE,10.66,181,200000,210302.55,2060.51,208242.04,4.121,0.022767955801104973
293,PICPAY,CDB,PRE,10.66,181,200000,210302.55,2060.51,208242.04,4.121,0.022767955801104973
70,BANCO C6 CONSIGNADO S.A.,CDB,IPCA,10.0,161,200000,209418.99,2119.27,207299.72,3.65,0.02267080745341615
68,BANCO FIBRA S.A AGENCIA MATRIZ,CDB,IPCA,10.0,134,200000,207737.27,1740.89,205996.39,2.998,0.02237313432835821
69,PARANA BANCO,CDB,IPCA,10.0,141,200000,208130.49,1829.36,206301.13,3.151,0.022347517730496452
140,BR PARTNERS BANCO DE INVESTIME,CDB,IPCA,9.6,163,200000,209077.17,2042.36,207034.81,3.517,0.021576687116564415
