Banco,Tipo_contrato,Taxa_tipo,Taxa%,Vencimento (dias),Valor inicial,Valor bruto,IR,Valor líquido,Rentabilidade líquida (%)
BANCO PAN,CDB,CDI_PCT,100.25,182,200000,219975.41,3995.08,215980.33,7.99
BANCO BTG PACTUAL,CDB,CDI_PCT,100.1,182,200000,219944.09,3988.82,215955.27,7.98
BANCO BTG PACTUAL,CDB,CDI_PCT,100.1,182,200000,219944.09,3988.82,215955.27,7.98
BANCO BTG PACTUAL,CDB,CDI_PCT,100.1,182,200000,219944.09,3988.82,215955.27,7.98
BANCO GUANABARA S.A.,CDB,CDI_PCT,100.0,182,200000,219923.21,3984.64,215938.57,7.97
BANCO RNX,CDB,CDI_PCT,100.0,182,200000,219923.21,3984.64,215938.57,7.97
BANCO BTG PACTUAL,CDB,CDI_PCT,98.5,184,200000,219837.58,3967.52,215870.06,7.94
PARANA BANCO,CDB,CDI_PCT,99.5,182,200000,219818.84,3963.77,215855.07,7.93
BANCO TOPAZIO,CDB,CDI_PCT,103.5,180,200000,220415.42,4593.47,215821.95,7.91
MERCADO LIVRE,CDB,CDI_PCT,99.0,182,200000,219714.52,3942.9,215771.62,7.89
BANCO GUANABARA S/A,CDB,CDI_PCT,99.0,182,200000,219714.52,3942.9,215771.62,7.89
BANCO BTG PACTUAL,CDB,CDI_PCT,98.9,182,200000,219693.66,3938.73,215754.93,7.88
BANCO BTG PACTUAL,CDB,CDI_PCT,98.9,182,200000,219693.66,3938.73,215754.93,7.88
BANCO PAN,CDB,CDI_PCT,98.9,182,200000,219693.66,3938.73,215754.93,7.88
BANCO ABC BRASIL,CDB,CDI_PCT,98.0,182,200000,219506.03,3901.21,215604.83,7.8
BANCO DAYCOVAL,CDB,CDI_PCT,98.0,182,200000,219506.03,3901.21,215604.83,7.8
BANCO DA CHINA BRASIL,CDB,CDI_PCT,98.0,182,200000,219506.03,3901.21,215604.83,7.8
BANCO BTG PACTUAL,CDB,CDI_PCT,97.9,182,200000,219485.19,3897.04,215588.16,7.79
BANCO PAN,CDB,CDI_PCT,97.9,182,200000,219485.19,3897.04,215588.16,7.79
BANCO INDUSTRIAL DO BRASIL S/A.,CDB,CDI_PCT,97.0,183,200000,219409.48,3881.9,215527.59,7.76
BANCO ABC BRASIL,CDB,CDI_PCT,97.5,182,200000,219401.86,3880.37,215521.49,7.76
BANCO GUANABARA S/A,CDB,CDI_PCT,112.0,219,200000,219377.21,3875.44,215501.77,7.75
BANCO BV,CDB,CDI_PCT,97.2,182,200000,219339.38,3867.88,215471.51,7.74
BANCO DAYCOVAL,CDB,CDI_PCT,96.5,182,200000,219193.67,3838.73,215354.93,7.68
BANCO DA CHINA BRASIL,CDB,CDI_PCT,96.33,182,200000,219158.3,3831.66,215326.64,7.66
PARANA BANCO,CDB,CDI_PCT,97.15,180,200000,219105.28,4298.69,214806.59,7.4
BANCO BTG PACTUAL,CDB,CDI_PCT,98.0,92,200000,218825.52,4235.74,214589.78,7.29
BANCO CCB,LCA,CDI_PCT,88.5,184,200000,217737.49,3547.5,214189.99,7.09
BANCO ABC BRASIL,LCA,CDI_PCT,87.5,182,200000,217328.74,3465.75,213862.99,6.93
BANCO ABC BRASIL,LCA,CDI_PCT,87.5,182,200000,217328.74,3465.75,213862.99,6.93
WILL BANK,CDB,PRE,16.4,192,200000,217253.7,3450.74,213802.96,6.9
BANCO ABC BRASIL,LCA,CDI_PCT,87.0,182,200000,217225.6,3445.12,213780.48,6.89
SICOOB,LCA,CDI_PCT,84.0,188,200000,217181.88,3436.38,213745.5,6.87
BANCO ABC BRASIL,LCA,CDI_PCT,86.5,182,200000,217122.5,3424.5,213698.0,6.85
BANCO BTG PACTUAL,LCA,CDI_PCT,85.0,182,200000,216813.51,3362.7,213450.81,6.73
BANCO BTG PACTUAL,LCA,CDI_PCT,85.0,182,200000,216813.51,3362.7,213450.81,6.73
BANCO BTG PACTUAL,LCA,CDI_PCT,85.0,182,200000,216813.51,3362.7,213450.81,6.73
OMNI S/A CFI,CDB,PRE,16.4,184,200000,216534.79,3306.96,213227.84,6.61
BANCO BTG PACTUAL,LCA,CDI_PCT,83.0,182,200000,216402.2,3280.44,213121.76,6.56
BANCO BTG PACTUAL,LCA,CDI_PCT,82.0,182,200000,216196.84,3239.37,212957.47,6.48
BANCO BOCOM BBM,LCA,CDI_PCT,81.0,184,200000,216175.52,3235.1,212940.41,6.47
BANCO BOCOM BBM,LCA,CDI_PCT,80.75,184,200000,216123.64,3224.73,212898.92,6.45
BANCO BV,CDB,PRE,13.86,211,200000,216024.44,3204.89,212819.55,6.41
BANCO BTG PACTUAL,LCA,CDI_PCT,81.0,182,200000,215991.67,3198.33,212793.34,6.4
BANCO BTG PACTUAL,LCA,CDI_PCT,81.0,182,200000,215991.67,3198.33,212793.34,6.4
BANCO BV,CDB,IPCA,10.6,171,200000,216086.37,3619.43,212466.93,6.23
GOLDMAN SACHS DO BRASIL,CDB,CDI_PCT,97.35,150,200000,215712.51,3535.32,212177.2,6.09
OURIBANK,CDB,CDI_PCT,97.0,150,200000,215653.88,3522.12,212131.76,6.07
STELLANTIS F S C F E I SA,CDB,PRE,15.2,182,200000,215158.36,3031.67,212126.68,6.06
BANCO C6 CONSIGNADO S.A,CDB,PRE,14.8,182,200000,214759.45,2951.89,211807.56,5.9
BANCO DAYCOVAL,CDB,PRE,14.8,182,200000,214759.45,2951.89,211807.56,5.9
