Banco,Tipo_contrato,Taxa_tipo,Taxa%,Vencimento (dias),Valor inicial,Valor bruto,IR,Valor líquido,Rentabilidade líquida (%)
BANCO DAYCOVAL,CDB,CDI_PCT,96.0,62,200000,205688.03,1279.81,204408.22,2.2
GOLDMAN SACHS DO BRASIL,CDB,CDI_PCT,96.0,62,200000,205688.03,1279.81,204408.22,2.2
BANCO PAN,CDB,CDI_PCT,99.0,60,200000,205643.77,1269.85,204373.92,2.19
BANCO DA CHINA BRASIL,CDB,CDI_PCT,94.33,62,200000,205587.74,1257.24,204330.5,2.17
MERCADO LIVRE,CDB,CDI_PCT,97.5,60,200000,205557.11,1250.35,204306.76,2.15
BANCO DAYCOVAL,CDB,CDI_PCT,97.0,60,200000,205528.23,1243.85,204284.38,2.14
BANCO DAYCOVAL,CDB,CDI_PCT,96.0,60,200000,205470.48,1230.86,204239.62,2.12
BANCO DA CHINA BRASIL,CDB,CDI_PCT,96.0,60,200000,205470.48,1230.86,204239.62,2.12
STELLANTIS FINANCIAMENTOS,CDB,PRE,14.52,62,200000,204932.82,1109.88,203822.94,1.91
BANCO DAYCOVAL,CDB,PRE,14.48,62,200000,204919.23,1106.83,203812.41,1.91
BANCO DAYCOVAL,CDB,PRE,14.36,62,200000,204878.47,1097.65,203780.81,1.89
BANCO DAYCOVAL,CDB,PRE,14.59,60,200000,204796.71,1079.26,203717.45,1.86
BANCO DAYCOVAL,CDB,PRE,14.3,60,200000,204701.37,1057.81,203643.56,1.82
BANCO DAYCOVAL,CDB,PRE,14.06,61,200000,204699.51,1057.39,203642.12,1.82
SOROCRED FINANCEIRA,CDB,CDI_PCT,110.0,88,200000,204537.0,1020.82,203516.17,1.76
STELLANTIS F S C F E I SA,CDB,PRE,15.0,49,200000,204027.4,906.16,203121.23,1.56
BANCO DAYCOVAL,CDB,PRE,14.5,32,200000,202542.47,572.05,201970.41,0.99
BANCO DAYCOVAL,CDB,PRE,14.6,30,200000,202400.0,540.0,201860.0,0.93
BANCO DAYCOVAL,CDB,PRE,14.4,30,200000,202367.12,532.6,201834.52,0.92
BANCO DAYCOVAL,CDB,PRE,14.26,30,200000,202344.11,527.42,201816.68,0.91
BANCO DAYCOVAL,CDB,PRE,13.94,30,200000,202291.51,515.59,201775.92,0.89
"QISTA S.A. - CREDITO, FINANCIAMENTO",CDB,PRE,15.0,15,200000,201232.88,277.4,200955.48,0.48
BANCO GUANABARA S/A,CDB,CDI_PCT,110.0,14,200000,200607.18,136.61,200470.56,0.24
